text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, is_oov, text
ip,ip,NOUN,NN,compound,True,False,False,network lb frontend-ip update
update,update,NOUN,NN,ROOT,True,False,False,network lb frontend-ip update
dla,dla,NOUN,NN,compound,True,False,False,dla account blob-storage delete
account,account,NOUN,NN,compound,True,False,False,dla account blob-storage delete
blob,blob,NOUN,NN,compound,True,False,False,dla account blob-storage delete
storage,storage,NOUN,NN,nsubj,True,False,False,dla account blob-storage delete
delete,delete,ADJ,JJ,ROOT,True,False,False,dla account blob-storage delete
storage,storage,NOUN,NN,compound,True,False,False,storage container show-permission
container,container,NOUN,NN,compound,True,False,False,storage container show-permission
show,show,NOUN,NN,compound,True,False,False,storage container show-permission
permission,permission,NOUN,NN,ROOT,True,False,False,storage container show-permission
batch,batch,NOUN,NN,amod,True,False,False,batch application
application,application,NOUN,NN,ROOT,True,False,False,batch application
policy,policy,NOUN,NN,compound,True,False,False,policy definition update
definition,definition,NOUN,NN,compound,True,False,False,policy definition update
update,update,NOUN,NN,ROOT,True,False,False,policy definition update
batch,batch,NOUN,NN,amod,True,False,False,batch certificate show
certificate,certificate,NOUN,NN,compound,True,False,False,batch certificate show
show,show,NOUN,NN,ROOT,True,False,False,batch certificate show
webapp,webapp,NOUN,NN,compound,True,False,False,webapp deployment slot auto-swap
deployment,deployment,NOUN,NN,compound,True,False,False,webapp deployment slot auto-swap
slot,slot,NOUN,NN,compound,True,False,False,webapp deployment slot auto-swap
auto,auto,NOUN,NN,compound,True,False,False,webapp deployment slot auto-swap
swap,swap,NOUN,NN,ROOT,True,False,False,webapp deployment slot auto-swap
vmss,vmss,NOUN,NN,ROOT,True,False,True,vmss diagnostics
diagnostics,diagnostic,NOUN,NNS,dobj,True,False,False,vmss diagnostics
servicebus,servicebus,NOUN,NN,compound,True,False,True,servicebus georecovery-alias authorization-rule list
georecovery,georecovery,NOUN,NN,ROOT,True,False,True,servicebus georecovery-alias authorization-rule list
alias,alias,NOUN,NN,compound,True,False,False,servicebus georecovery-alias authorization-rule list
authorization,authorization,NOUN,NN,compound,True,False,False,servicebus georecovery-alias authorization-rule list
rule,rule,NOUN,NN,compound,True,False,False,servicebus georecovery-alias authorization-rule list
list,list,NOUN,NN,dobj,True,False,False,servicebus georecovery-alias authorization-rule list
sf,sf,NOUN,NN,amod,True,False,False,sf cluster setting set
cluster,cluster,NOUN,NN,compound,True,False,False,sf cluster setting set
setting,set,VERB,VBG,nsubj,True,False,False,sf cluster setting set
set,set,VERB,VBN,ROOT,True,False,False,sf cluster setting set
aks,aks,X,XX,ROOT,True,False,False,aks
sql,sql,NOUN,NN,compound,True,False,False,sql server dns-alias
server,server,NOUN,NN,nmod,True,False,False,sql server dns-alias
dns,dns,NOUN,NN,amod,True,False,False,sql server dns-alias
alias,alias,NOUN,NN,ROOT,True,False,False,sql server dns-alias
batch,batch,ADJ,JJ,amod,True,False,False,batch pool show
pool,pool,NOUN,NN,compound,True,False,False,batch pool show
show,show,NOUN,NN,ROOT,True,False,False,batch pool show
eventgrid,eventgrid,ADJ,JJ,amod,True,False,True,eventgrid event-subscription show
event,event,NOUN,NN,compound,True,False,False,eventgrid event-subscription show
subscription,subscription,NOUN,NN,compound,True,False,False,eventgrid event-subscription show
show,show,NOUN,NN,ROOT,True,False,False,eventgrid event-subscription show
vm,vm,PROPN,NNP,nmod,True,False,False,vm unmanaged-disk attach
unmanaged,unmanaged,ADJ,JJ,amod,True,False,False,vm unmanaged-disk attach
disk,disk,NOUN,NN,nsubj,True,False,False,vm unmanaged-disk attach
attach,attach,VERB,VBP,ROOT,True,False,False,vm unmanaged-disk attach
batch,batch,ADJ,JJ,amod,True,False,False,batch pool autoscale
pool,pool,NOUN,NN,compound,True,False,False,batch pool autoscale
autoscale,autoscale,NOUN,NN,ROOT,True,False,False,batch pool autoscale
postgres,postgre,NOUN,NNS,compound,True,False,False,postgres server configuration show
server,server,NOUN,NN,compound,True,False,False,postgres server configuration show
configuration,configuration,NOUN,NN,compound,True,False,False,postgres server configuration show
show,show,NOUN,NN,ROOT,True,False,False,postgres server configuration show
